shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10009,43.453731,-80.469219,90004
10009,43.453339,-80.470378,90005
10009,43.452909,-80.471682,90006
10009,43.452626,-80.472520,90007
10009,43.452626,-80.472520,100001
10009,43.452558,-80.472722,100002
10009,43.452189,-80.473781,100003
10009,43.451873,-80.474718,100004
10009,43.451873,-80.474718,110001
10009,43.451828,-80.474853,110002
10009,43.451562,-80.475636,110003
10009,43.451434,-80.475975,110004
10009,43.451057,-80.477104,110005
10009,43.450999,-80.477271,110006
10009,43.450999,-80.477271,120001
10009,43.450665,-80.478213,120002
10009,43.450280,-80.479336,120003
10009,43.450107,-80.479847,120004
10009,43.449785,-80.480758,120005
10009,43.449785,-80.480758,130001
10009,43.449538,-80.481458,130002
10009,43.449303,-80.481659,130003
10009,43.450518,-80.484332,130004
10009,43.450518,-80.484332,140001
10009,43.450595,-80.484499,140002
10009,43.451349,-80.486113,140003
10009,43.450317,-80.486946,140004
10009,43.449692,-80.487348,140005
10009,43.449376,-80.487543,140006
10009,43.449376,-80.487543,150001
10009,43.449176,-80.487665,150002
10009,43.449645,-80.488754,150003
10009,43.449645,-80.488754,160001
10009,43.449805,-80.489126,160002
10009,43.450315,-80.490398,160003
10009,43.450400,-80.490630,160004
10009,43.450400,-80.490630,170001
10009,43.450792,-80.491702,170002
10009,43.450971,-80.492173,170003
10009,43.451085,-80.492546,170004
10009,43.450581,-80.492810,170005
10009,43.450065,-80.493068,170006
10009,43.449804,-80.493206,170007
10009,43.449742,-80.493237,170008
10009,43.449618,-80.493300,170009
10009,43.449546,-80.493338,170010
10009,43.449369,-80.492892,170011
10009,43.449369,-80.492892,180001
10009,43.448858,-80.491600,180002
10009,43.448736,-80.491699,180003
10009,43.448504,-80.491893,180004
10009,43.447997,-80.491022,180005
10009,43.447594,-80.491461,180006
10009,43.447119,-80.491950,180007
10009,43.447119,-80.491950,190001
10009,43.446737,-80.492343,190002
10009,43.446142,-80.492930,190003
10009,43.445815,-80.493258,190004
10009,43.445815,-80.493258,200001
10009,43.445804,-80.493269,200002
10009,43.445547,-80.493542,200003
10009,43.445255,-80.493832,200004
10009,43.444951,-80.494150,200005
10009,43.444676,-80.494429,200006
10009,43.444676,-80.494429,210001
10009,43.444352,-80.494758,210002
10009,43.444260,-80.494847,210003
10009,43.443170,-80.495959,210004
10009,43.442435,-80.496700,210005
10009,43.442435,-80.496700,220001
10009,43.442356,-80.496781,220002
10009,43.442118,-80.497030,220003
10009,43.441741,-80.497403,220004
10009,43.441133,-80.498033,220005
10009,43.441021,-80.498131,220006
10009,43.440813,-80.498297,220007
10009,43.440350,-80.498774,220008
10009,43.440350,-80.498774,230001
10009,43.440217,-80.498911,230002
10009,43.439428,-80.499701,230003
10009,43.439168,-80.499966,230004
10009,43.439168,-80.499966,240001
10009,43.438753,-80.500388,240002
10009,43.438634,-80.500782,240003
10009,43.438590,-80.501164,240004
10009,43.438459,-80.501636,240005
10009,43.438459,-80.501636,250001
10009,43.438449,-80.501672,250002
10009,43.438363,-80.501873,250003
10009,43.438085,-80.502317,250004
10009,43.437769,-80.502649,250005
10009,43.437359,-80.502918,250006
10009,43.437214,-80.502970,250007
10009,43.436835,-80.503192,250008
10009,43.436629,-80.503491,250009
10009,43.436629,-80.503491,260001
10009,43.436550,-80.503608,260002
10009,43.436239,-80.504079,260003
10009,43.435838,-80.504812,260004
10009,43.435228,-80.505918,260005
10009,43.435228,-80.505918,270001
10009,43.434471,-80.507291,270002
10009,43.434186,-80.508017,270003
10009,43.434111,-80.508233,270004
10009,43.434111,-80.508233,280001
10009,43.434047,-80.508412,280002
10009,43.433448,-80.510096,280003
10009,43.433194,-80.510806,280004
10009,43.433194,-80.510806,290001
10009,43.432093,-80.513889,290002
10009,43.432093,-80.513889,300001
10009,43.431879,-80.514488,300002
10009,43.431425,-80.515745,300003
10009,43.431055,-80.516789,300004
10009,43.430818,-80.517283,300005
10009,43.430579,-80.517595,300006
10009,43.430515,-80.517698,300007
10009,43.430515,-80.517698,310001
10009,43.430343,-80.517976,310002
10009,43.429800,-80.519520,310003
10009,43.429641,-80.520028,310004
10009,43.429604,-80.520197,310005
10009,43.429604,-80.520197,320001
10009,43.429405,-80.521111,320002
10009,43.429285,-80.521693,320003
10009,43.429099,-80.522581,320004
10009,43.428732,-80.523599,320005
10009,43.428472,-80.524283,320006
10009,43.428472,-80.524283,330001
10009,43.427902,-80.525783,330002
10009,43.427634,-80.526490,330003
10009,43.427634,-80.526490,340001
10009,43.427540,-80.526739,340002
10009,43.427111,-80.527831,340003
