stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1216,1216,Mcmurray / Bathurst,,  43.511001, -80.530760,,,0,,1
1217,1217,Bathurst / Rankin,,  43.510239, -80.533952,,,0,,1
1218,1218,Rupert / Bathurst,,  43.508971, -80.536597,,,0,,1
1219,1219,Northland / Rupert,,  43.506595, -80.534454,,,0,,1
1220,1220,Northland / Frobisher,,  43.505870, -80.535618,,,0,,1
1221,1221,Wyman / Colby,,  43.504421, -80.538054,,,0,,1
1226,1226,Colby / Northfield,,  43.500300, -80.537901,,,0,,1
1227,1227,Kumpf / 570S Block,,  43.499817, -80.541775,,,0,place_KNF,1
1228,1228,Kumpf / 580S Block,,  43.501261, -80.542704,,,0,,1
1229,1229,Kumpf / 600S Block,,  43.506749, -80.546077,,,0,,1
1230,1230,Randall / Conrad,,  43.502064, -80.549799,,,0,,1
1231,1231,Randall / Weber,,  43.501218, -80.552267,,,0,,1
1232,1232,Northlake / Swallow,,  43.501949, -80.555044,,,0,,1
1233,1233,Northlake / Mayview,,  43.498857, -80.554102,,,0,,1
1234,1234,Golden Eagle / Weber,,  43.498479, -80.551792,,,0,,1
1235,1235,Queen / Rooshill,,  43.424266, -80.323211,,,0,,1
1236,1236,Queen / Harvey,,  43.429874, -80.313783,,,0,,1
1237,1237,Queen / Hungerford,,  43.433437, -80.307355,,,0,,1
1238,1238,Queen / Panabaker,,  43.435815, -80.304634,,,0,,1
1239,1239,River / Melran,,  43.439147, -80.301655,,,0,,1
1240,1240,Melran / Mccormick,,  43.438698, -80.298917,,,0,,1
1241,1241,Melran / Alderson,,  43.440100, -80.295515,,,0,,1
1242,1242,Mcmeeken / Werstine,,  43.438110, -80.294030,,,0,,1
1243,1243,Mcmeeken / Mccormick,,  43.436937, -80.293685,,,0,,1
1244,1244,Kerwood / Gees,,  43.430936, -80.293125,,,0,,1
1245,1245,Clyde / Bluerock,,  43.371718, -80.293364,,,0,,1
1246,1246,Black Bridge / Michigan,,  43.449684, -80.309944,,,0,,1
1247,1247,Cooper / Ellis,,  43.427850, -80.297757,,,0,,1
1248,1248,Cooper / Ontario,,  43.430491, -80.301248,,,0,,1
1249,1249,Cooper / Lewis,,  43.431798, -80.305817,,,0,,1
